scenario,modeled_diagnoses,extra_diagnoses_vs_baseline,pct_symptom_cohort_reaching_diagnosis,pct_increase_in_diagnoses_vs_baseline
baseline (current funnel),3948.0,0.0,26.32,0.0
PCP→Referral +5 percentage points,4253.4,305.4,28.36,7.74
PCP→Referral +10 percentage points,4558.8,610.8,30.39,15.47
Referral→Specialist +10 percentage points,4546.9,598.9,30.31,15.17
Specialist→Diagnosis +10 percentage points,4513.7,565.7,30.09,14.33
PCP→Referral +5 and Specialist→Diagnosis +5 pp,4558.1,610.1,30.39,15.45
